,Time,Headline,Sentiment,Confidence,Negative_Probability,Neutral_Probability,Positive_Probability,Predicted_Class
0,2025-08-09,The TRIPP Corridor Threatens To Undermine Russia's Broader Regional Position,Negative,0.6827,0.6827,0.2825,0.0348,0
1,2025-08-09,"Vacuuming, Mopping, Mowing: The Household Robots Are Coming",Neutral,0.8601,0.0086,0.8601,0.1313,1
2,2025-08-09,American AI Companies Open Up To Counter China,Positive,0.979,0.0028,0.0182,0.979,2
3,2025-08-09,These Are The Biggest Threats To Teens' Mental Health,Neutral,0.6641,0.308,0.6641,0.0278,1
4,2025-08-09,Fermented Stevia Extract Kills Pancreatic Cancer Cells In Lab Tests,Negative,0.4257,0.4257,0.2325,0.3418,0
5,2025-08-09,Loading…,Neutral,0.9486,0.0188,0.9486,0.0326,1
6,2025-08-09,"Trump’s Amazing Chart Says All You Need to Know, Can Anyone Read It?",Neutral,0.8147,0.0099,0.8147,0.1754,1
7,2025-08-09,Battle Lines Are Drawn Over Partisan Redistricting - What To Know,Neutral,0.6592,0.2158,0.6592,0.125,1
8,2025-08-09,Chaotic NYC 'Safe' Injection-Sites Put On Notice By Trump,Positive,0.9444,0.0435,0.0121,0.9444,2
9,2025-08-09,"China's Baidu To Deploy Its Self-Driving Taxis Globally Through Deals With Lyft, Uber",Positive,0.9185,0.0036,0.0779,0.9185,2
10,2025-08-09,Nuclear Weapons Spending Is On The Rise,Positive,0.9177,0.0061,0.0762,0.9177,2
11,2025-08-09,Appeals Court Nukes Boasberg's Contempt Order In Trump Admin Deportations Case,Negative,0.7072,0.7072,0.0245,0.2683,0
12,2025-08-09,12 Republicans Led by Massie Have the Votes Force Release of Epstein Files,Positive,0.6351,0.3278,0.0371,0.6351,2
13,2025-08-09,Real Estate Newsletter Articles this Week,Neutral,0.9741,0.0063,0.9741,0.0196,1
14,2025-08-09,"Trump Orders New Census Excluding Illegal Immigrants, a Good Idea?",Positive,0.8357,0.0152,0.1492,0.8357,2
15,2025-08-09,"Camp Kotok: Rates, Fed & Dollar (Drink!)",Positive,0.6627,0.0127,0.3246,0.6627,2
16,2025-08-09,Loading…,Neutral,0.9486,0.0188,0.9486,0.0326,1
17,2025-08-09,Saturday links: uneven human luck,Negative,0.7808,0.7808,0.0335,0.1858,0
18,2025-08-09,BLS BS,Neutral,0.6177,0.0272,0.6177,0.3551,1
19,2025-08-09,Navitas Semiconductor: A High-Stakes Gamble On The Future Of AI Data Centers,Positive,0.9631,0.0075,0.0294,0.9631,2
20,2025-08-09,"Schedule for Week of August 10, 2025",Neutral,0.9814,0.0048,0.9814,0.0138,1
21,2025-08-09,The Witnessing,Neutral,0.5335,0.0666,0.5335,0.3999,1
22,2025-08-09,Questions to a Secretary of State,Neutral,0.975,0.0105,0.975,0.0145,1
23,2025-08-09,Book Bits: 9 August 2025,Neutral,0.963,0.007,0.963,0.03,1
24,2025-08-09,Cost of Healthcare Insurance by Commercial and Government,Neutral,0.9551,0.0141,0.9551,0.0308,1
25,2025-08-09,10 Camp Kotok Reads,Positive,0.5719,0.0577,0.3704,0.5719,2
26,2025-08-09,US Economic Growth Shows Cracks,Positive,0.7081,0.2289,0.063,0.7081,2
27,2025-08-08,"Trump Adds New Names to Fed Chair Search, I’m Still Available",Positive,0.8375,0.0086,0.1539,0.8375,2
28,2025-08-08,The Mish U1 Recession Indicator Is Flashing a Big Warning,Negative,0.5916,0.5916,0.0675,0.3409,0
29,2025-08-08,Applying Prof. Edward Leamer’s pre-recession progression paradigm to the present,Neutral,0.6815,0.0096,0.6815,0.3089,1
30,2025-08-08,Apple: Is The $100 Billion Deal Really A Smart Move?,Positive,0.9528,0.0045,0.0427,0.9528,2
31,2025-08-08,AAR: Rail Traffic in July: Intermodal and Carload Traffic Increased,Positive,0.9828,0.0028,0.0144,0.9828,2
32,2025-08-08,Loading…,Neutral,0.9486,0.0188,0.9486,0.0326,1
33,2025-08-08,Gold Hits New Record High on Tariffs Then Gives Up “Misinformation” Gains,Positive,0.8179,0.1406,0.0415,0.8179,2
34,2025-08-08,Prophecy,Neutral,0.8265,0.0317,0.8265,0.1418,1
35,2025-08-08,Simple answers to simple questions,Neutral,0.942,0.0125,0.942,0.0455,1
