,Time,Headline,Sentiment,Confidence,Negative_Probability,Neutral_Probability,Positive_Probability,Predicted_Class
0,2025-08-08 01:58AM,"Europe Shares to Rise, Gold Futures Jump on Tariff: Markets Wrap",Positive,0.9856,0.0027,0.0117,0.9856,2
1,2025-08-08 01:55AM,Japan stocks soar but rest of Asia uneven as Miran gets Fed nod,Negative,0.5698,0.5698,0.0294,0.4009,0
2,2025-08-08 12:58AM,Life-like robots for sale to the public as China opens new store,Neutral,0.6238,0.0051,0.6238,0.3711,1
3,2025-08-08 12:50AM,Emerging-Market Asset Rally Stalls as Trade Tensions Resurface,Negative,0.7689,0.7689,0.0288,0.2023,0
4,2025-08-08 12:49AM,"Toyo Tire Lifts Outlook, Boosts US Output to Cushion Tariff Blow",Positive,0.9879,0.0036,0.0085,0.9879,2
5,2025-08-08 12:32AM,Loading…,Neutral,0.9486,0.0188,0.9486,0.0326,1
6,2025-08-08 12:32AM,Copper Heads for Weekly Gain With Codelco Collapse in Focus,Negative,0.5986,0.5986,0.0309,0.3704,0
7,2025-08-08 12:13AM,Indian Funds Cushion Market With Heaviest Buying Since April,Positive,0.9269,0.0441,0.029,0.9269,2
8,2025-08-08 12:01AM,Russia’s Urals Touted to Refiners in China as Oil Flows in Flux,Positive,0.5297,0.3319,0.1384,0.5297,2
9,2025-08-08 12:00AM,The Hottest New Credit Deals in Europe Are Anything to Do With Defense,Positive,0.7326,0.007,0.2603,0.7326,2
10,2025-08-08 12:00AM,Thyssenkrupp Eyes Naval Unit Spinoff to Tap Europe Defense Boom,Positive,0.9819,0.0027,0.0154,0.9819,2
11,2025-08-07,Indonesia’s Benchmark Yield Falls to Lowest in Almost Two Years,Negative,0.7069,0.7069,0.2646,0.0285,0
12,2025-08-07,Indonesia Names Two Lawmakers as First Suspects in BI Graft Case,Neutral,0.5786,0.2271,0.5786,0.1943,1
13,2025-08-07,"New World in Talks With Blackstone, CapitaLand for Asset Sales",Positive,0.9331,0.0058,0.0612,0.9331,2
14,2025-08-07,India’s Major Pension Funds Seize on New Rule to Buy Fewer Bonds,Positive,0.9199,0.0427,0.0374,0.9199,2
15,2025-08-07,Crocs shares slump as US shoppers rein in spending,Negative,0.8443,0.8443,0.0535,0.1022,0
16,2025-08-07,Loading…,Neutral,0.9486,0.0188,0.9486,0.0326,1
17,2025-08-07,Indian Markets Brace for Losses as Tariff Worries Cloud Outlook,Negative,0.8585,0.8585,0.0509,0.0906,0
18,2025-08-07,Mandalorian actress settles lawsuit with Disney over firing,Negative,0.7553,0.7553,0.0403,0.2044,0
19,2025-08-07,"Japan index hits record high on earnings boost, other Asian markets ease",Positive,0.9883,0.003,0.0087,0.9883,2
20,2025-08-07,Israel Security Cabinet Approves PM’s Plan to Seize Gaza City,Positive,0.963,0.0133,0.0238,0.963,2
21,2025-08-07,Dollar Softness to Relieve Pressure on Asia’s Currency Defenders,Positive,0.8752,0.0617,0.0631,0.8752,2
22,2025-08-07,China South City Faces Debt Plan Pressure Ahead of Court Hearing,Negative,0.8405,0.8405,0.0878,0.0717,0
23,2025-08-07,Young Americans drowning in credit card debt as delinquency rates climb near 10% in Q2,Negative,0.7819,0.7819,0.0587,0.1593,0
24,2025-08-07,"Stock Market News, Aug. 7, 2025: S&P 500 Slips After New Tariffs Kick In; Apple Rallies",Negative,0.8066,0.8066,0.0332,0.1602,0
25,2025-08-07,Petrobras Misses Estimates on Low Oil Prices and Higher Costs,Negative,0.8359,0.8359,0.0977,0.0663,0
26,2025-08-07,"US Adds Surprise Gold Bar Tariff in Blow to Switzerland, FT Says",Positive,0.7435,0.24,0.0166,0.7435,2
27,2025-08-07,Is Gen Z really drinking less — or just being choosier about when they indulge?,Neutral,0.6355,0.3174,0.6355,0.0471,1
28,2025-08-07,Gold Set for Biggest Weekly Gain in a Month on Fed Governor Pick,Positive,0.9902,0.0028,0.007,0.9902,2
29,2025-08-07,Medical Tech Firm Heartflow Prices $317 Million IPO Above Range,Positive,0.9815,0.004,0.0145,0.9815,2
30,2025-08-07,Dollar Swoon Sees Australians Pour Record Flows Into Hedged Fund,Positive,0.9878,0.0023,0.0099,0.9878,2
31,2025-08-07,US Increases Reward for Venezuela’s Maduro On Drug Trafficking Charges,Positive,0.9865,0.0059,0.0076,0.9865,2
32,2025-08-07,Loading…,Neutral,0.9486,0.0188,0.9486,0.0326,1
33,2025-08-07,New York Gold Futures Spike Over Spot Price After Tariff Report,Positive,0.9885,0.0048,0.0067,0.9885,2
34,2025-08-07,S&P 500 eases with Eli Lilly; Nasdaq manages record closing high,Positive,0.9837,0.0034,0.0128,0.9837,2
35,2025-08-07,Coinbase chief policy officer lauds Trump's executive order targeting debanking,Negative,0.6938,0.6938,0.0499,0.2563,0
36,2025-08-07,"WATCH: Biden jobs chart had 'gigantic error,' Trump right to fire BLS chief, economist says",Negative,0.8314,0.8314,0.0445,0.1241,0
37,2025-08-07,Oil Heads for 5% Weekly Slump With Russian Supplies in Focus,Negative,0.8536,0.8536,0.0451,0.1014,0
38,2025-08-07,"Blackstone, Thoma Bravo in Talks With Iress Over Possible Deal",Positive,0.9345,0.0089,0.0565,0.9345,2
39,2025-08-07,"Trump has shown a pro-worker agenda, economic expert says",Positive,0.6658,0.0127,0.3215,0.6658,2
40,2025-08-07,Miran tapped by Trump for Fed governor post. Why ‘he’s just a seat warmer.’,Positive,0.9622,0.0125,0.0254,0.9622,2
41,2025-08-07,Why firms are merging HR and IT departments,Neutral,0.5478,0.0429,0.5478,0.4093,1
42,2025-08-07,Is now a good time to refinance your car loan? Here’s how to tell.,Neutral,0.9194,0.0071,0.9194,0.0735,1
43,2025-08-07,"Britons booking 'later, closer, shorter' UK breaks",Positive,0.9682,0.0115,0.0203,0.9682,2
44,2025-08-07,Trump opens door for crypto in retirement accounts,Positive,0.9863,0.0031,0.0106,0.9863,2
45,2025-08-07,Stock futures rise after Dow posts a loss in Thursday’s trading,Negative,0.5435,0.5435,0.0384,0.4181,0
46,2025-08-07,"Trump 401(k) Order Opens Door for Crypto, Private Equity and Real Estate",Positive,0.9554,0.004,0.0407,0.9554,2
47,2025-08-07,Disney Settles Suit Brought by Gina Carano Over ‘Mandalorian’ Firing,Negative,0.7182,0.7182,0.0655,0.2162,0
48,2025-08-07,All eyes on oil prices ahead of Trump’s Friday deadline for Russia-Ukraine deal,Positive,0.6789,0.0115,0.3096,0.6789,2
49,2025-08-07,"Trading Day: Tariffs, Fed fears vs tech optimism",Positive,0.5828,0.3893,0.0279,0.5828,2
50,2025-08-07,"National Debt Tracker: American taxpayers (you) are now on the hook for $36,950,459,859,111.56 as of 8/7/25",Positive,0.7548,0.0072,0.238,0.7548,2
51,2025-08-07,Trump’s tariff threat puts semiconductors on display,Negative,0.7602,0.7602,0.0614,0.1784,0
52,2025-08-07,Wealth Firms Are Preparing Richest Australians for Pension Tax Fallout,Neutral,0.8867,0.0052,0.8867,0.1081,1
53,2025-08-07,India Bought Russian Oil. Now It’s a Trade-War Weapon.,Neutral,0.5065,0.0092,0.5065,0.4843,1
54,2025-08-07,SoundHound's stock surges as earnings show a growing embrace of voice AI,Positive,0.9719,0.003,0.025,0.9719,2
55,2025-08-07,Sweetgreen Cuts Outlook Following Weaker-Than-Expected Quarter,Negative,0.8599,0.8599,0.0709,0.0692,0
56,2025-08-07,Dow Falters After New Tariffs Kick In,Negative,0.8152,0.8152,0.0469,0.138,0
57,2025-08-07,Carlyle Sells $1.25 Billion Deal Repackaging Private Equity Fund Stakes,Positive,0.9722,0.0151,0.0127,0.9722,2
